repo	summary
Abdidev1/Interstellar-Glass-Bridge-	I wanted to build a proper, high-performance Roblox game from scratch without relying on messy, default templates.
Abduhakimov2013/roblox-log-in-page-	Project from Digital Innovation One living code.
Abduhakimov2013/roblox_gift	Project from Digital Innovation One living code.
AbdullahTobun1/roblox-trading-game	A Roblox game where players learn quantitative finance through trading, investing, and portfolio management. Features realistic market simulations, technical indicators, and progression systems.
aberdun01/PokeRojo	Spanish Pokémon Red rom with .GB extension
abeuscher/roblox-island-battle	A 1v1 Roblox strategy game. Two round islands face each other across a narrow channel. Each player hides three bases on their island and defends them with soft weapons — coconuts, birds, slingshots.
abhidya/RobloxAIDev	Asset-driven Roblox game generation: turn a one-line game idea into a playable game whose world is assembled from real Creator Store assets, not hand-rolled parts.
abhijandyala/siddy	A Roblox career exploration game for FBLA, set up with Rojo for Cursor ↔ Studio sync.
abmofficial/Pulse	A robust, secure, and high-performance networking framework for Roblox games featuring client-server communication, data persistence, security measures, and HTTP integration.
AbnormallyCursed/ro-riscv	The actual CPU is solely by me, and everything is a work in progress, this github page may not be updated to contain the latest source code version.
Aboba20025005/Alt-Manager-Roblox	Roblox Alt Manager - это вспомогательный инструмент для удобного запуска нескольких аккаунтов Roblox через отдельные браузерные профили.
abovefolks/RBX-UI	A comprehensive collection of reusable UI components for Roblox games built with Vide. This library provides a set of production-ready components designed to streamline UI development in Roblox.
Abrikosikkk/Fix-Icons-Roblox	A small Windows utility that restores broken thumbnails, avatars, and icons in Roblox by resolving tr.rbxcdn.com to a working IP address and patching the system hosts file.
absolutezeroo/plant-vs-zombie	A mobile-first tower defense game built on Roblox using Matter ECS architecture.
AbstractAerial/Typing-Test-Game	A typing test Made in Roblox Studio using Rojo.
abuwkaa/Garden_of_Mutants	A Roblox game combining pet collection, farming, tower defense PvE, and arena PvP.
AbylTheVintageBoy/robloxlabs.com	$MANIFEST_DIR$/peristence/ contains: RECORD.json - A record of universes added and purged.
acaba1806/math_lib_roblox	math_lib/NuclearMath provides a modular, math-heavy toolkit for simulating a pressurised water reactor (PWR) inside Roblox Studio.
AchaoticSoftworks/AchaoticSources	Welcome to Achaotic API, please use our script carefully.
AchaoticSoftworksCore/AchaoticSources	Welcome to Achaotic API, please use our script carefully.
AchmadBudy/roblox-account-monitoring	Rename Files: Rename storage/usersexample.json to storage/users.json. (Sesuaikan isi storage/users.json sesuai kebutuhan Anda setelah penggantian nama)
AClavijos/Hidden-Devs-Application	A single-script Roblox showcase demonstrating a broad range of server-side scripting concepts including CFrame math, physics simulation, pathfinding, metatables, and RunService-driven animation, organized across six …
acos-s/templates	My own templates with optional NixOS support, primarily only for myself and my friends
AcreroYT/polytoria-scripts	Just a collection of random little scripts I make. Feel free to grab them, instructions will most likely be in a txt next to the script.
actions-marketplace-validations/luau-project_setup-lua	Explanation: This snippet installs Lua (or LuaJIT or OpenResty, depending on the matrix) + LuaRocks, and configures the environment for the toolchain that was used to build Lua.
actions-marketplace-validations/rojopolis_envkey-action	GitHub Action to configure workflow with environment from EnvKey (
actions-marketplace-validations/rojopolis_spellcheck-github-actions	![Markdownlint Action][GHAMKDBADGE] ![Spellcheck Action][GHASPLLBADGE]
actions-marketplace-validations/ryanlua_update-roblox-asset	GitHub Action for updating assets on Roblox.
actions-marketplace-validations/T-R-I-X_action-rbxtsc	Compile your Typescript code and check for errors.
actions-marketplace-validations/tenx29_save-to-roblox	A GitHub Action that saves a place file to Roblox using the Roblox Open Cloud API.
actions-marketplace-validations/thegamerbay_roblox-luau-execution-action	A composite GitHub Action that seamlessly integrates with the Roblox Open Cloud API. It uploads a built .rbxl place file to your Universe and executes a Luau test script (like TestEZ) directly on Roblox servers.
actions-marketplace-validations/Ulferno_upload-to-roblox	GitHub action to upload a Roblox place to Roblox with the Place Management API.
ActualMasterOogway/Wax-Bundler-Example	To enhance your work environment, I recommend installing all the recommended extensions.
acw7/badminton	Version control for the "josh and cam badminton" Roblox place. Rojo tracks the code; the built world and art stay in the place file.
ada-mmmm/JohnStrap	The only official places to download Bloxstrap are this GitHub repository and bloxstraplabs.com. Any other websites offering downloads or claiming to be us are not owned by us.
adaclo/grow-a-industry	Grow A Industry es un microvideojuego desarrollado en Roblox Studio inspirado en simuladores de gestión y juegos narrativos de decisiones como BitLife.
adam-drake1/roblox-bloxorz	remake of bloxorz in roblox using roblox-ts, roact and rodux.
AdamJ-3141/luau-overlapping-circles	Luau code that calculates the total area of any number of overlapping (or non-overlapping) circles. The table circles should contain Vector2D centre coordinates paired with each circle's radius.
adamlind20014-cyber/robloxspil	Dette repository giver en best practice skabelon til et Roblox projekt der kan versionsstyres med Git og synkroniseres med Roblox Studio ved hjælp af Rojo.
AdamMehany/DrawShowdown	Some of the main scripts used inside of my roblox game Draw Showdown. All code was created by me using the language lua.
AdamplayerHUN/roblox-gang	A projektünk célja egy roblox DOORS szerű játék létrehozása
AdamRaichu/rbxts-rbx-gui-library	TypeScript definitions for Rbx Gui, a library EgoMoose created to help developers with a few common UI components that are not currently present on the Roblox platform.
AdamRaichu/rbxts-safebadges	SafeBadges is an open-source Roblox module designed to simplify and enhance the process of awarding badges within your game (… or experience).
adeliia-31/Roblox-CRUD	Aplikasi panel admin sederhana untuk mengelola data game Roblox dan user, dibangun dengan PHP native + MySQL.
adhinugroho1711/roblox	A simple and efficient auto-reload system for Roblox games that allows automatic character reloading at specified intervals or manual triggers.
adib4u/SpaceHab-Studio	Democratizing space design — from classrooms to NASA labs.
AdilZhalgasbay/roblox-studio-mcp-linux	A lightweight Linux bridge and wrapper script for running Roblox Studio MCP (StudioMCP.exe) with AI agents such as Claude Desktop, Hermes Agent, and Codex under Linux (Fedora, Ubuntu, Arch, etc.) using Vinegar or Wine.
adit4rt-source/roblox	Project Roblox Studio yang menggunakan Rojo untuk sinkronisasi otomatis antara file system dan Roblox Studio.
AdonousTech/roblox-starter-platformer	This guide explains how to extract scripts from a Roblox place file and set up a Rojo project for syncing between your file system and Roblox Studio.
ador09/Rojon	❖ A Massanger Multi Device Bot To Take Your Massanger To Another Level ! ❖
adowning/roblox-casino-crypto	A full-featured crypto casino with a modern UI and popular games:
adperem/roblox_cleaner	Juego de limpieza con agua a presión para Roblox.
adri49/Panel-roblox	Un tableau de bord moderne et élégant pour centraliser et visualiser les statistiques de vos jeux Roblox.
adrian-1-cardona/robloxxgame	tests/PortalLoad.spec.luau is the canonical "the portals work" regression test. It reproduces the exact path a player takes to load into a game — walk a pier portal → get seated on a raft → friends join by code — by …
adriana597/Burger-King-LLC-Roblox-	📩 A Template to host an MTA-STS Policy file on GitHub
adrianferjovel-cmyk/constructor-roblox	Programa que convierte ideas en lenguaje natural en **modelos 3D para Roblox, usando referencias reales.
Adrianoos69/roblox-viral-game-finder	Adrianoos is a Discord bot designed to track and discover emerging, high-potential Roblox games before they go viral.
afetoperigoso/noctalia-spinning-media	A compact Noctalia bar widget that displays the current album artwork as a rotating disc.
AfonasGa/rooms	game.SoundService["OPEN THE DOOR"]:Play()
AfraiCat/AfraiMCP-Roblox	A custom fork of the Roblox Studio MCP Server with additional tools for faster reads, batch operations, selection/navigation, DataStore inspection, asset management, and Rojo integration.
afterglowstudios2000-dotcom/PlotSystem	A simple Roblox plot management system that assigns a unique plot to each player when they join the game.
agavrailov/Roblox_Aura	Multiplayer maze exploration game where players collect Lumens, craft Auras to unlock new zones, find hidden relics, and compete for Rebirth wins.
AgentCamp69/Roblox-username-Generator	First, Download the index.py Raw file, Second, Then Open the file, You should see the Python program and a Console.
AguliRojo/AguliRojo.github.io	A minimal, ready-to-use template for creating a blog with the [Chirpy][chirpy] Jekyll theme. Get up and running in minutes with all critical files pre-configured.
Agus-12/GAME_ROBLOX_IMPERIO_DE_ESPECIES	Juego de Roblox: mundo abierto estilo GTA + tycoon empresarial.
AgustinoFlores/Roblox-Lua-Expander	The Roblox Lua Expander is used to expand what Lua can do inside Roblox. It adds new functionality to the Lua code within Roblox to allow different functions found in different programming languages, opens the …
agustinusss/Calculator-Culti	Welcome to Cultivation Simulator Tools, a suite of premium tools and calculators designed for the Roblox game Cultivation Simulator.
AhmadNaruto/android-luau	A reusable Android library that embeds the Luau scripting language into Kotlin/Java applications using JNI.
Ahmarii/UIRoblox	This project mirrors the DeadWinter-style local setup: Rojo Wally Selene StyLua via Rokit generated default.project.json
AhmedSupDev/Roblox-Theme	Theme For Roblox Frist Download It ==> [[Download Here]]( Step 1 : Search Roblox Player in search And Right Click It Step 2 : Click Open File Location And Select Roblox Player Right Click it And Open File Location Step …
ahnminjae08043-glitch/roblox-studio-gpt-bridge	Do not give every user the shared server key. Each Studio installation must press Create Pairing Code and give the 12-character code to the configured GPT.
ai-walter-sobchak/yt-roblox-hytopia	Hosted public web app (Next.js App Router + Supabase + Vercel) that:
AidanFeess/roblox-creation-game	I wanted this to be like original 2015 Robocraft but after a few days of working on this project I realized the scope of the project and decided to leave it unfinished, so I'm posting this code here now in case I ever …
AidanFeess/RobloxAttributeEditor	This is a simple easy to understand attribute editor for roblox studio
Aidenedia/DiscordToRoblox	I wrote a discord bot and flask server which gets input from a discord server and looks for the commands Forward,back,left,right or jump, and if the bot finds one of these commands it sends a post command to the flask …
aier9500/niri-noctalia	The commands in this README assume the repo lives at ~/.dotfiles/niri-noctalia. > Clone it there with the command below, or adjust the repo= line in each block.
Aiman-Shamshad/Roblox-obby	These are the projects made Aiman shamshad
aimeryplr/rbxts-object-to-tree	Simply select the instance you want converted into a tree, and click on the plugin to generate its tree.
AimJax/Storage-Auction	Multiplayer Roblox loop: inspect unit → bid vs NPCs → winner rummages → open boxes → reveal randomized items → sell/keep → next auction.
AIOGlitch/AIO-Roblox-Glitch	AIO Roblox Glitch is a all in one software where it glitches roblox games and duplicate coins/gems/whatever you want. All it does is use the game coding and finds which one adds items into your inventory.
Airbearz/roblox-libraries	A collection of Roblox libraries built to speed up development workflow
Aizen1d/duck-life-simulator	Duck is a Roblox game project managed with Rojo and Aftman.
aizensamamode/ROBLOX-CODE-WEBSITE	THIS IS CREATED TO CREATE AN WEBSITE WITH AUTOMATIC UPDATE AI AUTOMATION USING WEB SCRAPPING TO CHECK LATEST ROBLOX CODE FOR PLAYERS
aj-caballero/ROBLOX-RANT-GENERATOR	A Python application for creating Roblox rant-style videos with text-to-speech (TTS), subtitles, and gameplay backgrounds.
ajay-vikram/finetune-qwen2.5-code-luau	Fine-tuning Qwen2.5-Coder-0.5B on the Roblox/luau_corpus dataset and comparing against open-source code LLMs on Luau.
Ajwyunsx/linc_luau	Be sure to read the Luau documentation this
Akari-yn/FileHandler	This module provides a suite of functions for handling file operations within a Roblox Studio plugin environment.
akashiarnaud/HotelVao	Etablir un site web qui reprend le systeme du airbnb (réservation d'hotel)
AkashM20098/Roblox	Snake is a game in which a snake needs to explore an environment and catch the fruit without hitting any obstacle or itself. Every time the snake catches a fruit, its size increases.
Akiisqt/ProxyService	use npm create cloudflare, follow instructions in prompts and answer yes to all the questions
akirme/ROBLOX	本仓库为 MaaFramework 所提供的项目模板，开发者可基于此模板直接创建自己的 MaaXXX 项目。
akmalriyas/simple-shake	SimpleShake is a lightweight, highly optimized camera shake module for Roblox. It provides preset shake profiles and allows developers to create custom shakes with minimal math.
alamerstudios/ArenaBridgeRoblox	Eine lokale Bridge zwischen Arena AI und Roblox Studio – mit dynamischen Tokens, Dashboard, Command‑Sender, Logs und vollständiger Session‑Verwaltung.
alamsyahh15/roblox-script	KeyError: 'timestamp' saat resume checkpoint: hapus file checkpoint lalu jalankan ulang. Contoh: hapus file exportcheckpoint.json atau exportrole_checkpoint.json (sesuaikan dengan konfigurasi di script).
alaninnovates/roblox-game-stats	This is a react app that is used to view top 40 games on roblox.
Aldin0233/roblox-studio	학부모님이 접속해 수업 프린트를 내려받고 코드 예제를 복사할 수 있는 GitHub Pages용 정적 사이트입니다.
aleksandraepifanova/Roblox_Test_Task	To ensure that the distance tracking system works correctly, please enable API Services in Roblox Studio: Go to Home → Game Settings. Navigate to the Security tab. Enable "Allow Studio Access to API Services".
aleshazahirasiregar-oss/roblox-2016-web	Welcome to the classic 2016 Roblox experience. This project is dedicated to preserving the UI/UX style of the 2016 era.
alexander-marshall02/net-roblox	RbxNet Advanced multi-language networking framework for Roblox.
AlexanderGulik/RobloxMarket21.06	Pet-проект, представляющий собой веб-платформу для торговли внутриигровыми предметами из Roblox.
AlexanderTheWorst/RobloxExportTest	Below are the steps to get your plugin running. You can also find instructions at:
alexandrecordevant/Roblox	Monorepo contenant les projets Roblox Studio (Rojo).
alexceep/Projeto-Roblox-studio	Este projeto foi desenvolvido no Roblox Studio com foco na correção e melhoria de dois sistemas principais do jogo:
AlexeiDias/robloxDev-template	A modern Roblox development template with Rojo, Wally, and automated testing.
alexgrant2009-prog/roblox-game	A 2–4 player co-op baking game for Roblox. One player can read the order, one can cook, one can taste — and nobody has all the information. You have to talk to each other or the shift falls apart.
alexiscorrea0939/Roblox-Projects	Last Survivor es un juego desarrollado en Roblox en el que el jugador debe sobrevivir mientras es perseguido por zombies.
AlexJReid/alex-hello-xllify	This repo demonstrates using the xllify-build action to package some simple custom functions from main.luau
alexmagwe/Ringfall	A Roblox extraction game. You drop in at the edge of a circular maze, descend through three sealed districts to the vault at its centre, and carry it back out the way you came — while six hunters, every one of them …
alexmccord/luau-explorer	Work in progress. Slash commands are horrible to work with, so much so I'm not feeling motivated to finish this.
alexsandro83/sortearPapeisRoblox	App para sortear papéis de Xerife, Assassino e Inocente.
alexzanco/roblox-games-rater	src/app.py starts the web server. src/templates/games.html is the page HTML. src/static/styles.css controls the page style. docs/ is for project documentation.
AlexzOnYT/InfinityFramework	Infinity is a LuaU game framework designed for the Roblox Engine! Infinity's purpose as a game framework is to speed up the development of your Roblox-Experience, with a ton of different libaries, singletons and …
AlfaYuuki/roblox-id-verification	This project allows a friend to confirm their Roblox ID ownership and sends you an email notification.
AlfieMcPhee/roblox	An addictive, old-school Roblox cash-dropper tycoon with a modern feel and full microtransaction support.
Alfrenzo/TerrainGenerator	A procedural map generator for Roblox — automatically creates natural-looking terrain with borders, scattered trees, and rocks.
algasami/WFC-Luau	This is a Luau implementation of the WFC algorithm.
Ali-Malb/beest	I've build a roblox speed run game that has 3 levels, each with a different theme: ice, lava and earth. it feautres a loop with a raycasrt and guidance system as well as speed and jumnp boosts.
alidd11/RoleplayOS	RoleplayOS is a server-authoritative, configuration-first Roblox roleplay framework written in strict Luau and managed with Rojo.
Alinaveedbutt/Roblox_Scripts	Ok so these are the basic scripts that I have used so far to make the Soul Slashers ...
Alipsch/bagibagi-roblox-webhook	Webhook penghubung antara donasi di Bagibagi.co dengan game Roblox kamu, mirip pola yang dipakai bagibagi-roblox-webhook-production.up.railway.app.
aliraza254/fps-game	This is a Rojo v7 Roblox FPS vertical slice. It includes a generated blockout map, one server-authoritative hitscan rifle, ammo/reload state, health/damage, respawns, a simple FFA round loop, and a client HUD.
Alishercool228/robloxlox	A clean, bootable starting point for new Roblox games of any genre — survival, horror, incremental, simulation, and beyond.
alkkazma123/bentengan-roblox	Game Roblox bertema bentengan (permainan tradisional Indonesia: dua tim saling menjaga benteng/base, menangkap lawan dengan menyentuh saat keluar dari zona aman, dan membebaskan teman yang tertangkap).
alkkazma123/siapa-si-peniru	Game Roblox non-violent social deduction yang dibangun fully programmatic (tanpa GUI/asset manual). Saat server start, semuanya di-build otomatis: map kota, lobby, penjara, UI, sound, dan logika ronde.
allawr3/robloxdev	A multiplayer food-throwing battle game built with Roblox Studio and Rojo.
Allianzee/ASMRsystem	A Roblox ASMR interaction system built for squishy and interactive objects.
allinall0724-cmyk/blade-legends	A complete, publish-ready Roblox game: collect weapons from cases, fight in casual and ranked PVP, trade with other players, and climb a global leaderboard.
allinall0724-cmyk/Gnome-game	Roblox gnome collector. See GNOMEGAMEDESIGN.md for the full design.
alloy-luau/examples	One .aly file per feature of Alloy, numbered in reading order, plus test, a small project with alloy.toml, packages, and a Rojo layout.
aloofist/remove-faulty-scripts	Just replace "qPerfectionWeld" with whatever your faulty script's name is
alreadypro/roblox-studio-code	Extract the contents of icons.zip into %USERPROFILE%\.vscode\extensions\icons
alsxxxz/roblox_NLP	한국어 자연어 처리(NLP)에 유용한 모듈과 실행 스크립트를 모아둔 저장소입니다. 주요 기능은 다음과 같습니다:
altairkaitou/hidden-dev-luau-submission	This repository is reserved for a standalone Roblox Luau scripting role submission.
AlternativeLua/Pooler	A faster way to clone objects by already caching them. Adding QOL features to it!
alu0100783230/ElAtaqueDeLosRojobolos2	El ataque de los rojobolos 2 es un juego en primera persona compatible con gafas de realidad virtual en el cuál encarnas a un soldado que despierta encerrado en una prisión de rojobolotrón, sin recordar nada pero …
alu230995-png/History-I	Versión: 1.0 | Motor: Roblox Studio + Luau Stack técnico: Knit · ProfileService · Trove · Signal · Janitor Metodología: Arquitectura MVC + Servicios desacoplados (patrón AAA Roblox)
alvaro209890/anime-verse-battlegrounds	RPG / Action RPG de mundo aberto no Roblox (Luau) — combate estilo battlegrounds com progressão persistente, loadout customizável e ressonância de famílias de energia.
