repo	stars	forks	created	pushed	lang	license
0jewell/amiya	0	0	2024-08-30	2024-09-22	Luau	MIT
0jewell/bnnuy	2	0	2026-02-06	2026-07-12	Luau	MIT
0jewell/lumi	5	0	2024-05-10	2025-02-22	Luau	MIT
0jewell/prism	4	0	2025-02-09	2025-11-14	Luau	MIT
0jewell/td-kit	4	0	2025-09-07	2025-12-06	Luau	MIT
0kjuan/ROBLOX_ARCHIVE	0	0	2024-06-03	2024-06-03		
0nehara/wos-fnaf	0	1	2025-11-23	2025-11-23	Lua	MIT
0neShot101/rbxdev-ls	19	2	2026-02-27	2026-07-23	TypeScript	MIT
0nfleur/NewWorld	0	0	2020-10-07	2020-10-08		
0outlaw/roblox_lowest_server_ping_finder	0	0	2022-05-28	2022-06-15	Python	
0p3lm3r1va/Midi-file-attempt-nr-4	0	0	2026-06-23	2026-06-23		
0r10n09/ReBlox	0	0	2026-06-18	2026-06-18	JavaScript	
0R30C00K13/RUSH-Shooting-Range	0	0	2026-07-09	2026-07-10		
0rgxn/AutoRanker	0	0	2024-11-08	2024-11-08	JavaScript	
0rgxn/RBLXStudioIcons	0	0	2025-06-24	2025-06-28		MIT
0rtizSys/PwC-Wiki	1	0	2026-05-09	2026-05-11	JavaScript	MIT
0rtizSys/Very-Basic-Anti-Fly-Roblox-System	0	0	2026-02-15	2026-02-15	Lua	
0SrGood/project-levelup	0	0	2026-09-18	2026-09-18	HTML	
0swift135/buds-control	0	0	2026-09-19	2026-09-19	Luau	
0szysza/trackccu	0	0	2026-09-21	2026-09-24	HTML	
0TheFinalityTrueEnd0/UltimateNumber	0	0	2026-09-02	2026-09-02	Lua	
0v3r5e3r/RobloxObjects	0	0	2023-12-06	2023-12-06	Lua	CC0-1.0
0W0wander/Outfimizer-Outfit-Storage-Randomizer	0	0	2026-01-07	2026-01-07	JavaScript	
0W0wander/ROBLOXfriendhider	0	0	2025-01-15	2025-02-16	JavaScript	
0W0wander/ROBLOXGameBlocker	0	0	2024-12-27	2026-05-06	JavaScript	
0x-Offset/CMD-Bar	0	0	2026-02-22	2026-07-12	Luau	
0x070696E65/roblox_symbol	0	0	2024-08-26	2024-08-26	Lua	
0x274b/Kit-Table	0	0	2026-05-14	2026-05-14		
0x307x1/roblox-external	0	0	2026-07-31	2026-07-31		MIT
0x3k6902/robloxFunctions	0	0	2023-08-29	2024-01-04		
0x4672696573/Fuglidifications	0	0	2026-07-13	2026-08-20	C++	GPL-3.0
0x5eal/clap.luau	3	1	2023-10-03	2024-07-04	Luau	
0x5eal/librbxm	3	0	2023-05-26	2023-05-26	TypeScript	MIT
0x5eal/luau-unzip	23	4	2024-12-30	2026-06-06	Luau	MIT
0x5eal/luauLog	2	1	2024-05-08	2024-06-10	Luau	AGPL-3.0
0x5eal/rbxts-pako	3	0	2024-12-27	2024-12-27	TypeScript	MIT
0x5eal/semver-luau	15	1	2024-11-04	2024-12-17	Luau	MIT
0x5eal/terracotta	7	0	2023-09-27	2024-06-10	Luau	
0x6060/On-Tap-Roblox-Painting	1	1	2025-08-13	2026-08-22	Lua	MIT
0x7F5EE5/Zeus-Chat	0	0	2024-11-09	2024-11-09	Lua	
0xCA5E/roblox-quarry	1	0	2026-07-08	2026-08-03	Lua	
0xCA5E/roblox-upside-engine-starter	0	0	2025-10-25	2025-12-02	Lua	MIT
0Xd01x/RobloxReconnect	3	1	2025-09-07	2025-09-07	AutoHotkey	
0xD4RK4T/RoShell	0	0	2026-02-23	2026-03-17	C#	
0xDPE/FightScript	0	0	2025-06-02	2025-06-02	Luau	
0xDPE/SimpleRobloxRaytracer	0	0	2024-08-07	2024-08-07	Lua	Apache-2.0
0xfuji/roblox-player-data-service	0	0	2026-09-02	2026-09-02	Luau	MIT
0xJWLabs/commander	0	0	2024-07-01	2024-07-09	Luau	CC0-1.0
0xJWLabs/luauexpress	0	0	2025-07-13	2025-07-13	Luau	MIT
0xJWLabs/luauhono	0	0	2025-07-15	2025-07-15	Luau	MIT
0xJWLabs/rocord-luau	0	0	2025-07-15	2025-08-01	Luau	MIT
0xJWLabs/TopbarX	0	0	2025-05-02	2025-05-02	Luau	
0xkenarox/Modular-AI-framework-for-intelligent-Roblox-NPCs	1	0	2026-05-30	2026-06-11	Lua	
0xmallard/debug-wiki	0	0	2026-07-18	2026-07-18		MIT
0xmortuex/roblox-anticheat-the-hard-way	2	1	2026-04-05	2026-04-05	Lua	MIT
0xmortuex/RoSuite	0	0	2026-04-09	2026-07-14	JavaScript	
0xRaptor/datastore-bot	0	1	2023-08-27	2023-08-27		MIT
0xS4cha/speakup	0	0	2026-06-07	2026-06-08	Luau	MIT
0xSatanic/Sword-of-Carnage	0	0	2026-06-25	2026-06-25	Luau	
0xsteak/nova-ui	0	0	2025-07-30	2026-09-18	Luau	MIT
0xVB/Luna	3	0	2024-06-30	2024-09-20	C++	
0xVexalis/Auth-Loader	0	1	2026-01-27	2026-01-31	Luau	
0xviel/Roblox-Widget	2	2	2026-06-08	2026-06-08	JavaScript	
0xVO10Z/roblox-tax-calc	0	0	2024-10-15	2024-10-20	HTML	
0y8/Roblox-Item-Owner-Finder	0	0	2022-07-04	2022-07-08	Python	
0Zayn/RVI	4	0	2024-12-19	2024-12-21	JavaScript	
0zBug/Benchmark	2	0	2022-06-17	2022-06-17	Lua	
0zBug/Clutter	2	1	2022-04-16	2023-07-27	Lua	
0zBug/CoreUI	3	2	2022-04-19	2022-10-02	Lua	
0zBug/F3XService	5	0	2021-12-22	2022-05-18	Lua	
0zBug/FileSocket	3	0	2022-04-16	2022-05-16	Lua	
0zBug/Garbage	2	0	2022-05-26	2023-07-18	Lua	
0zBug/Hummingbird	1	0	2022-06-17	2022-06-17	Lua	
0zBug/PhysicsService	1	0	2021-12-22	2022-04-18	Lua	
0zBug/RepoDownloader	3	0	2021-12-22	2022-05-16	Lua	
0zBug/StudioService	2	0	2021-12-22	2022-11-28	Lua	
0zBug/Thrixmin	2	2	2022-01-03	2023-03-12	Lua	
0zz5/roblox-utils	0	0	2026-08-04	2026-08-04	Luau	
1-dnt/Nobis-Luau-Init	1	0	2026-03-06	2026-03-06	Lua	MIT
10024037-bot/Roblox-server-	0	0	2026-07-11	2026-07-11		
100followrschalleng/MyRobloxChalleng	0	0	2025-11-09	2025-11-09	HTML	
100grit/JooblysTowers	0	0	2023-01-13	2023-01-13	HTML	
100ondash/roblox	0	0	2026-03-11	2023-06-17		
100uzd/unc-sunc-fucker	0	0	2025-01-28	2025-01-29	Lua	GPL-3.0
10174612-sys/123456789game	0	0	2026-08-29	2026-08-29		
101KIM/Cursor-cuadrado-V6	0	0	2026-07-20	2026-07-20		
102KIRA/KerbalYT-BABFT-Gui	0	0	2025-02-11	2023-03-16		
1031ken-prog/Project-Coin-Village	0	0	2026-06-09	2026-06-20	Batchfile	
10458104-ship-it/porfavor-person-solo-queria-roblox	0	0	2026-08-08	2026-08-08		
104matt/The-Clone-Wars-Project	0	0	2026-05-12	2026-06-23	Lua	
106212911/DevSareh-Page	0	0	2025-12-24	2026-01-28	CSS	
1077903rs-coder/rohan2	0	0	2025-12-19	2025-12-19		
10918111/killroblox	0	0	2020-06-07	2020-06-07		
10GoodDogs/DogeLIB	0	0	2021-09-01	2021-09-01	Lua	
10j0/full-roblox-subdomain-list-4.2k	0	0	2026-08-21	2026-08-21		
10kkyvl/studioforge	0	0	2026-07-18	2026-09-12	Go	MIT
10TheDragon/bss-values-index	2	0	2026-03-19	2026-06-15	HTML	MIT
10x00/Public-Roblox	0	0	2021-02-06	2023-02-28	Lua	
111an5/Idk	0	0	2024-08-31	2024-08-31		
114514hhvb/robloxn	0	0	2025-09-27	2026-03-14	Lua	
12103com/rbxluaisgreat	1	0	2015-11-11	2015-11-11		
123fake1238-web/Roblox-Invincible-Fly-Advanced	0	0	2026-09-08	2026-09-08		
123gurshaan97/Vehicle-Legends	1	0	2024-04-11	2024-04-11		
12febrlt-cyber/saweria-roblox-system	0	0	2026-06-17	2026-06-17	Lua	
12GaugeNick/ROBLOX-Actiunum	1	0	2022-01-14	2022-01-14	Lua	MIT
12GaugeNick/ROBLOX-php-web-image-to-color3	0	0	2022-01-14	2022-01-14	Lua	MIT
12GaugeNick/ROBLOX-Twitch-API	0	0	2022-01-14	2022-01-14	Lua	MIT
12Xex/Balls	0	0	2022-10-12	2022-10-12		
1300B/RobloxCrafterMode	0	0	2025-09-03	2025-09-03	PHP	
1310NI14L/jacques-recharge	0	0	2026-08-04	2026-08-04	HTML	
135stew/stews-achievements	0	0	2026-06-06	2026-06-06		
1389702532045078668/libraries	0	0	2026-04-07	2026-04-12	Luau	
13h1/-Roblox-Username-Finder-	1	0	2025-03-28	2025-04-30	Python	
13ksilvyrado/Layfex-Roblox	2	0	2022-07-16	2025-11-09	Lua	MIT
13th-btw/OGAS	2	0	2026-09-13	2026-09-23	Luau	Unlicense
1401917/luau-fly-mode	0	0	2026-08-27	2026-08-27		
1412240028/SprintSystem_v1.0	0	0	2025-11-10	2025-11-10	Lua	
14Blox/roblox-pged-notifier	0	1	2022-08-12	2021-05-22		
14degrees/roblox0	0	0	2026-01-13	2026-01-13	Luau	
166filipteo-alt/roblox	0	0	2026-08-07	2026-08-09	CSS	
16bit-16/kscarplay-server	0	0	2026-06-21	2026-06-21	Luau	
17sync/rojo-template	0	0	2026-03-22	2026-07-06	Luau	
17sync/Sector-Zero	0	0	2026-03-22	2026-03-25	Luau	
17sync/Vertis	0	0	2026-07-04	2026-07-22	Luau	MIT
1875221/ROBLOX-ZOMBIE-UNDER-GROUND-GUNFIGHT-CODING	0	0	2026-05-28	2026-05-28		
1875221/ROBLOX-ZOMBIE-UNDER-WORLD-GUNFIGHT-CODING	0	0	2026-05-28	2026-05-28		
18s-peroxide/luau-mcp-server	0	0	2026-08-21	2026-08-21	JavaScript	
18s-peroxide/Moon-AI	0	0	2026-07-31	2026-08-01		
1919fud/Survive-Escape-from-Atlantis-	0	0	2025-09-05	2026-01-29	Luau	
1923812371283127398123712893126793/roblox-alt-gen-	3	0	2022-10-15	2022-10-15	JavaScript	
19dullarfortnitecard/MultiBLOX	1	5	2022-01-11	2022-01-11	C#	MIT
19lucas21-svg/Trap-festival-	0	0	2026-07-16	2026-07-16	HTML	
1Aesthetical/POLICE-ROLEPLAY-COMMUNITY	0	0	2019-08-31	2019-08-31		
1afa1x-sudo/-roblox-voice-server	0	0	2025-12-16	2025-12-16	JavaScript	
1alessandro/doomspire-brickbattle	0	0	2025-10-04	2025-10-04		Unlicense
1alessandro/roblox-chat-tag	0	0	2025-10-03	2025-10-03	Lua	Unlicense
1alessandro/roblox-double-jump	0	0	2025-10-03	2025-10-03	Lua	Unlicense
1alessandro/roblox-server-messages	0	0	2025-10-03	2025-10-03	Lua	Unlicense
1alessandro/roblox-wall-climbing-system	0	0	2025-10-09	2025-10-09	Lua	Unlicense
1alessandro/roblox-welcome-badge	0	0	2025-10-03	2025-10-03	Lua	Unlicense
1AlexDev/DropShadow	2	1	2024-02-11	2025-05-04		MIT
1amButter/not_blocks	0	0	2026-08-05	2026-08-17	GDScript	MIT
1aple/SP2009.GSinc	0	0	2024-07-26	2024-07-26	HTML	
1AreYouMental110/PealzwareUI	0	0	2026-04-09	2026-04-09	Lua	
1AreYouMental110/Welder	0	0	2026-08-20	2026-08-20	Lua	
1ascent1/roblox-ui-library	0	0	2025-08-01	2025-08-01	Lua	
1Axen/blink	184	34	2023-12-24	2026-09-23	Luau	MIT
1Axen/Secure-Cast	30	16	2023-08-26	2024-10-21	Lua	MIT
1bit0/roblox-discord-webhooks	1	0	2024-12-28	2024-12-30	Lua	
1cal0/RCCSoap08	0	0	2026-06-05	2026-09-24	PHP	
1DeRBy1-alt/RobloxMinecraftAlpha	0	0	2026-06-19	2026-06-19	Lua	
1deter/Public-Luau-Projects	0	0	2026-07-30	2026-08-27	Luau	Apache-2.0
1Errol2Git/Roblox-Furry-Ban	0	0	2022-12-21	2024-01-11		
1eyn/Buckshot-Tracker	0	0	2026-08-03	2026-08-04	Lua	
1ForeverHD/TopbarPlus	236	227	2021-01-02	2025-09-17	Lua	NOASSERTION
1frail/robloxsnipr	0	0	2025-06-03	2025-06-03	Python	
1hum8le/roblox-friendremoval	0	0	2026-07-26	2026-07-26	Python	
1Humza/evolve-framework	0	2	2021-08-08	2026-05-21	Lua	
1kishore875/nomad-driver-cont....zip	0	0	2021-06-10	2021-06-10	Go	NOASSERTION
1lafalo/Lucca	0	0	2025-06-04	2025-06-04		
1lia-a/RobloxCart	0	0	2025-04-26	2025-04-26		
1malachite/roblox-BuilderIcons	0	0	2026-05-16	2026-05-16	JavaScript	
1ndigga/spinbot-roblox	0	0	2026-03-27	2026-03-27		
1nOnlyMinhaz/RobloxTrello	1	0	2022-01-16	2022-04-05	Lua	CC0-1.0
1nOnlyMinhaz/TrainStackX	1	0	2025-04-21	2025-04-21	Luau	MIT
1ntort/util	1	0	2026-03-18	2026-03-22	Luau	
1pakung/infoold	0	0	2025-10-18	2025-11-30	HTML	
1scriptz/Roblox-Game	0	0	2026-03-09	2026-03-18	Luau	
1Sol0/FastFishV2	0	0	2025-03-01	2025-03-07	Python	
1SPG/SwapListGenerator	0	0	2026-07-30	2026-08-11	Python	MIT
1stCat/Roblox-Alt-Mnager	0	0	2025-02-08	2025-02-08		
1stCat/RobloxMultiManager	0	0	2025-02-08	2025-02-08		
1suite/OneAnticheat	2	1	2025-06-15	2025-08-13	Luau	NOASSERTION
1suite/Solder	12	0	2025-08-06	2025-08-12	Luau	MIT
1t0uchabl3/Gui-roblox-EH-ghost-logic	0	0	2025-12-26	2025-12-26	Lua	
1thom/Part-Orbit	0	0	2021-08-11	2021-08-12	Lua	
1to1d/roadblocks	0	0	2026-01-26	2026-01-26		
1toop/ToopSternal	21	0	2026-07-20	2026-07-27		
1tyre/rma-rendered	0	0	2022-11-26	2022-11-26		
1VitaliOn/Roblox-PSS	1	0	2026-02-15	2026-02-15	Lua	MIT
1vocabss/Vocab-Portfolio	0	0	2025-08-14	2025-08-14	HTML	
1vrb/rcm	7	1	2025-05-12	2025-06-09	Python	MIT
1x6/roblox-always-online	4	2	2021-06-04	2021-06-04	Python	
1x6/roblox-page-saver	1	0	2021-04-10	2021-04-10	Python	
1x9/Rblx-1	0	0	2019-05-15	2019-05-15		Unlicense
1xayd/gitrb	0	0	2026-08-15	2026-08-16	Go	
1Youshi1/EXLiver_StudiosLoaderV2	0	0	2025-10-01	2026-07-03	Lua	BSL-1.0
1ypii/roshipped	0	0	2026-08-06	2026-09-24	JavaScript	
1ZeroStorm/Earth-002-Roblox-Studio	0	0	2025-12-28	2025-12-28		MIT
1ZeroStorm/MachineLearningRobloxStudio	0	0	2026-01-06	2026-01-13	Lua	
1ZeroStorm/Roblox-Studio	0	0	2025-12-18	2026-02-14		
2-Buckets/Roblox	0	0	2022-10-03	2023-03-18	Lua	
2002lucasfreitas/RoNeox	0	0	2026-08-01	2026-08-01		
200Tigersbloxed/CopyRoblox	0	0	2022-09-10	2022-09-10	Go	MIT
200Tigersbloxed/tigerVR	0	0	2022-10-04	2023-03-25	C#	MIT
20125665-crypto/roblox-nations-roleplay	0	0	2026-09-10	2026-09-10		
2016BLOX/.2016	0	0	2024-01-17	2024-01-17		
2016BLOX/.BLOX2016	0	0	2024-01-17	2024-01-17		
2017m/Stigma-Engine	1	0	2023-04-11	2023-04-11	Lua	GPL-3.0
2024-25-Allen-ISD-Computer-Science/7th-period-isp-face-your-fears-roblox-game	0	0	2024-10-21	2025-04-04		
202yzr/Roblox-FPS-Portfolio	0	0	2026-07-01	2026-07-01	Lua	
20ghngsjioghna/weseeniggas	0	0	2023-02-09	2023-02-09		
212omar/212_portfolio	0	0	2026-08-05	2026-08-05	JavaScript	
21devspln/21Devs	0	0	2026-06-10	2026-06-10	HTML	
21szz/roblox-FPS-booster	0	0	2025-08-31	2025-08-31		
22-nicolas/MiningGame	0	1	2025-10-26	2026-03-15	Lua	
2233qazwsx0/cobalt	0	0	2026-08-20	2026-08-20	Luau	
223Win/LuauMonacoEditor	0	1	2024-03-29	2024-04-10	JavaScript	
224123cool/Roblox	0	0	2026-03-27	2026-03-27	HTML	
22aispro/Debu	2	0	2026-05-03	2026-05-03	Luau	MIT
22aispro/DiddyLevel	4	0	2025-09-25	2026-07-24	Luau	MIT
22aispro/DidliECS	0	0	2026-04-18	2026-06-15	Luau	
22aispro/Fembindable-events	5	1	2025-08-04	2026-02-12	Luau	MIT
22aispro/PludLayout	5	3	2025-09-20	2025-11-08	Luau	MIT
22aispro/Weighter	1	1	2025-11-26	2026-01-30	Luau	MIT
22fourL/thosewholuau	0	0	2025-11-09	2026-02-14	Lua	
23013A7/VredonosnoPOForRobloxo	0	0	2026-08-02	2026-08-02	Lua	
23121059-erwin/robloxaiassistant	0	0	2026-01-08	2026-01-08	HTML	
23232442/roblox-team-switcher	0	0	2025-08-04	2025-08-04	JavaScript	
23lovescp/roblox-driver	0	0	2025-09-21	2025-09-21	C++	
248kt/roblox-extension	0	0	2026-05-28	2026-05-28	TypeScript	
24edden/ROBLOXGameDevExplorations	0	0	2023-03-01	2023-03-01	Lua	
24kEmrx1/WallWalk	0	0	2025-02-21	2026-02-19	Luau	
250618664-lang/demon-born-compass	1	0	2026-06-27	2026-06-29	Astro	
27m/projdetector	2	0	2022-05-12	2022-05-14	Python	AGPL-3.0
27m/roblox_message_archiver	0	0	2022-07-15	2022-07-15	Python	AGPL-3.0
27sBurguer/roblox-get-eb-division-group	0	0	2026-01-30	2026-01-30	JavaScript	
28Y8/SpatialQuery	2	0	2025-04-17	2025-05-08	Lua	MIT
29cmb/PackageManagerPlugin	0	0	2024-06-23	2024-06-24	Luau	
29cmb/RobloxInstanceSerializer	0	0	2024-06-22	2024-08-19	Luau	
2AngryMunc1/RoDDoS4Shell	0	3	2024-10-10	2024-10-14		MIT
2anonymous263/Roblox-ai-backend	0	0	2026-04-10	2026-04-10	JavaScript	
2ashokreddy/myPythonDockerRepo	0	3	2022-05-15	2025-01-02	Luau	MIT
2B3/rekiro	0	0	2026-03-28	2026-04-06	Luau	MIT
2B3/roggie-express	0	0	2026-06-24	2026-06-24	Luau	
2B3/vide-sonner	0	0	2026-08-14	2026-08-16	Luau	MIT
2C-P/Roblox-5-letter-user-finder	1	0	2025-10-03	2025-10-03	Python	
2cmo2cmo/Script-Finder	0	0	2022-11-20	2022-11-20	JavaScript	
2DaNyA2/Roblox-ai-stuido	0	0	2026-03-25	2026-03-25		
2DdesginDeveloper/RobloxWatcher	0	0	2026-03-18	2026-03-18	Batchfile	
2e5d/5letterRobloxUsers	0	0	2026-08-11	2026-08-11		
2f25/Roblox-Kit-Archive	1	0	2026-02-13	2026-08-31	JavaScript	
2Fang/Roblox-GUI	0	0	2024-03-21	2024-03-21		
2Fang/Roblox-Tekken	0	0	2024-03-21	2024-03-21		
2foId/Hand-Tracker	0	0	2026-07-06	2026-07-06		
2foId/WB	0	0	2026-07-06	2026-07-06		
2g4g6/rbxlx-to-rojo	0	0	2026-01-22	2026-01-22	Lua	MPL-2.0
2gmh/lua-projects	0	0	2023-02-11	2023-02-12	Lua	
2Khalil/Khalil-s-lib-list	0	0	2022-10-30	2022-10-30		
2Khalil/Obelus-Lib-deadware-edition-	0	0	2022-09-15	2022-09-15		
2knoah-glitch/Linix	1	0	2026-03-08	2026-03-08	Lua	
2Lucid/ytb	0	0	2026-07-12	2026-09-16	Luau	
2md55nmxkw-arch/LuauEmu	0	0	2026-06-19	2026-06-19	Luau	
2MoonsLua/lua55c	0	1	2026-04-06	2026-04-06	C	
2MoonsLua/luvune	0	0	2026-04-06	2026-04-06	Luau	
2n11n2/Roblox	0	0	2026-02-03	2026-02-03	Lua	
2nJe7eV9h/Lua-Loading	0	0	2020-12-23	2020-12-23		
2nnik/player-profile-loader	1	0	2026-07-19	2026-07-20	Luau	MIT
2nnik/roblox-packages	0	0	2026-07-21	2026-07-21	Luau	MIT
2pendax/roblox-earnings-report	0	0	2026-05-24	2026-05-24	HTML	
2prf/portfolio	0	0	2026-04-05	2026-04-05		
2pro12342/Project-25	0	0	2025-02-06	2025-02-06		
2Sebastian2/DandysWorld	0	0	2025-06-30	2026-04-10	Java	
2tim3/-short-introduction	0	0	2025-02-15	2025-02-15		
2Vanish1/Discord-Bot	0	0	2025-06-01	2025-06-01		
2vb3/cr.accounts.roblox.com	0	0	2022-03-29	2022-03-29		
2vsh/2016roblox	1	0	2022-07-09	2022-07-09	Lua	
2vsh/Roblox-UnfollowAll	0	0	2024-05-31	2024-05-31	Python	
3-14-denies-Pi/ddev-roblox-card	0	0	2026-01-01	2026-01-03	JavaScript	MIT
3069603/blockverse	0	0	2025-07-23	2025-07-29	HTML	
31naras/roblox-phantom-forces-playtime-calculator	0	0	2026-07-02	2026-07-02	C++	
32-3/Libs	0	0	2025-01-15	2025-01-16	Lua	
32bitx64bit/roblox-patched-wine	3	0	2024-01-24	2025-04-08		
32bitx64bit/Tipsy	10	0	2026-09-04	2026-09-21	Go	GPL-3.0
32galicij-commits/Roblox	0	0	2026-01-22	2026-01-22		GPL-2.0
32opa/roblox-help-scripy	0	0	2026-08-03	2026-08-03	Lua	
343fefdfs34343tfdfss1-stack/roblox-current-target	0	0	2026-08-01	2026-08-01		
3474nd0m/hUX2MCB	1	0	2026-04-02	2026-06-14	JavaScript	
35000140-web/Nas	0	0	2026-04-08	2026-04-08		
35dehaa/LuaU-Scripts	0	0	2025-11-30	2025-11-30		
37397398371280/Daily-Roblox-Badge-Maker	0	0	2026-08-07	2026-08-08	JavaScript	
375ivanpopov375-beep/128	0	0	2026-02-08	2026-02-08		
3b3cin2/Roblox-asset-coppyer	0	0	2026-05-22	2026-05-22	Python	MIT
3ch0less/roblox-2016-arm64	1	1	2026-06-24	2026-07-11	C++	
3codeinvite-rgb/roblox-gamepass-proxy	1	0	2025-08-24	2026-05-21	JavaScript	
3DesignD/Networker	0	0	2026-02-21	2026-06-12	Luau	
3dhuboz/roblox-forge	1	1	2026-03-25	2026-07-15	TypeScript	
3dsboydude/murdererflip	0	0	2025-05-03	2025-05-03	Luau	
3dsonsuce/NovolineUI	0	0	2021-09-22	2021-09-22		
3gData/T64-Roblox-Output-Sender	0	0	2026-04-13	2026-04-14	Luau	
3jackdaws/RBXLX-File-Splitter	0	0	2016-05-13	2019-07-04	PHP	
3lqv/Blox-Craft	0	0	2025-07-17	2025-07-17	HTML	
3lvin7ane/luau-grid-and-placement-systems	0	0	2026-06-15	2026-06-15	Luau	
3m4rio/GDev	1	0	2026-04-24	2026-04-24	Luau	MIT
